record_id,classification,evidence,n_methods,flag_iqr,flag_zscore,flag_if,if_score,dbscan_noise,KMeans_Segment,CC_Utilization,Transaction_to_Balance_Ratio,Loan_to_Balance_Ratio,Account Balance,Credit Limit,Credit Card Balance,Transaction Type,Transaction Amount,Account Balance After Transaction,Anomaly
4171,Risk Signal,transaksi 26× saldo (tekanan likuiditas); pinjaman 175× saldo (leverage ekstrem),3,True,True,True,0.783,False,Liquidity-Stressed / High-Leverage,0.435,26.284,175.179,188.07,6466.12,2810.39,Withdrawal,4943.17,-4755.1,1
1788,Risk Signal,transaksi 21× saldo (tekanan likuiditas); pinjaman 245× saldo (leverage ekstrem),3,True,True,True,0.783,False,Liquidity-Stressed / High-Leverage,0.523,20.886,245.197,192.61,2898.8,1515.16,Withdrawal,4022.93,-3830.32,1
81,Risk Signal,transaksi 16× saldo (tekanan likuiditas); pinjaman 254× saldo (leverage ekstrem),3,True,True,True,0.782,False,Liquidity-Stressed / High-Leverage,0.787,16.209,253.502,193.96,4514.98,3553.84,Deposit,3143.98,-2950.02,1
243,Risk Signal,transaksi 14× saldo (tekanan likuiditas); pinjaman 230× saldo (leverage ekstrem),3,True,True,True,0.773,False,Liquidity-Stressed / High-Leverage,0.775,14.387,229.99,139.84,4670.46,3617.72,Transfer,2011.81,2151.65,1
664,Risk Signal,transaksi 17× saldo (tekanan likuiditas); pinjaman 211× saldo (leverage ekstrem),3,True,True,True,0.769,False,Liquidity-Stressed / High-Leverage,0.341,16.745,211.331,171.19,2787.11,949.74,Deposit,2866.65,-2695.46,1
3159,Risk Signal,transaksi 16× saldo (tekanan likuiditas); pinjaman 170× saldo (leverage ekstrem),3,True,True,True,0.767,False,Liquidity-Stressed / High-Leverage,0.004,15.888,170.23,146.31,5780.4,20.54,Transfer,2324.63,2470.94,1
90,Risk Signal,transaksi 14× saldo (tekanan likuiditas); pinjaman 209× saldo (leverage ekstrem),3,True,True,True,0.766,False,Liquidity-Stressed / High-Leverage,0.82,14.019,209.012,180.1,5646.98,4628.69,Deposit,2524.81,2704.91,1
1493,Risk Signal,saldo kartu 2.1× limit (jauh over-limit); transaksi 15× saldo (tekanan likuiditas); pinjaman 131× saldo (leverage ekstrem),3,True,True,True,0.765,True,Liquidity-Stressed / High-Leverage,2.1,14.64,130.882,254.61,1652.23,3469.73,Deposit,3727.6,3982.21,1
3307,Risk Signal,transaksi 44× saldo (tekanan likuiditas),3,True,True,True,0.764,False,Liquidity-Stressed / High-Leverage,0.703,44.286,83.762,112.71,1849.94,1300.87,Deposit,4991.47,-4878.76,1
2798,Risk Signal,saldo kartu 3.2× limit (jauh over-limit); transaksi 14× saldo (tekanan likuiditas),3,True,True,True,0.763,True,Liquidity-Stressed / High-Leverage,3.168,13.594,80.018,193.9,1194.75,3785.36,Transfer,2635.85,2829.75,1
1310,Risk Signal,transaksi 24× saldo (tekanan likuiditas); pinjaman 122× saldo (leverage ekstrem),3,True,True,True,0.762,False,Liquidity-Stressed / High-Leverage,0.687,24.009,122.3,119.05,2560.56,1759.6,Deposit,2858.23,-2739.18,1
197,Risk Signal,saldo kartu 3.2× limit (jauh over-limit); transaksi 12× saldo (tekanan likuiditas),3,True,True,True,0.761,True,Liquidity-Stressed / High-Leverage,3.202,12.372,76.624,384.31,1545.49,4949.28,Deposit,4754.77,-4370.46,1
4768,Risk Signal,transaksi 11× saldo (tekanan likuiditas); pinjaman 224× saldo (leverage ekstrem),3,True,True,True,0.761,False,Liquidity-Stressed / High-Leverage,0.165,11.473,224.347,131.67,5789.76,958.16,Deposit,1510.62,-1378.95,1
2665,Risk Signal,transaksi 13× saldo (tekanan likuiditas); pinjaman 201× saldo (leverage ekstrem),3,True,True,True,0.76,False,Liquidity-Stressed / High-Leverage,0.754,12.986,201.121,216.29,5952.81,4490.25,Transfer,2808.67,-2592.38,1
1232,Risk Signal,pinjaman 210× saldo (leverage ekstrem),3,True,True,True,0.748,True,Liquidity-Stressed / High-Leverage,1.1,6.912,209.659,223.12,3423.02,3764.24,Deposit,1542.16,-1319.04,1
1596,Risk Signal,transaksi 16× saldo (tekanan likuiditas); pinjaman 142× saldo (leverage ekstrem),3,True,True,True,0.746,False,Liquidity-Stressed / High-Leverage,0.678,15.781,142.318,266.59,5258.61,3566.45,Transfer,4207.07,-3940.48,1
869,Risk Signal,pinjaman 328× saldo (leverage ekstrem),3,True,True,True,0.745,False,Liquidity-Stressed / High-Leverage,0.482,7.932,327.537,132.96,5246.01,2530.18,Transfer,1054.58,1187.54,1
4450,Risk Signal,transaksi 15× saldo (tekanan likuiditas); pinjaman 159× saldo (leverage ekstrem),3,True,True,True,0.744,False,Liquidity-Stressed / High-Leverage,0.275,14.595,159.121,295.55,7490.7,2058.61,Transfer,4313.58,-4018.03,1
3385,Risk Signal,transaksi 21× saldo (tekanan likuiditas); pinjaman 125× saldo (leverage ekstrem),3,True,True,True,0.743,False,Liquidity-Stressed / High-Leverage,0.294,20.523,124.983,210.87,5215.4,1535.88,Transfer,4327.7,-4116.83,1
1952,Risk Signal,transaksi 16× saldo (tekanan likuiditas); pinjaman 127× saldo (leverage ekstrem),3,True,True,True,0.743,False,Liquidity-Stressed / High-Leverage,0.077,16.14,127.169,243.84,7408.35,571.27,Deposit,3935.58,4179.42,1
3202,Risk Signal,transaksi 28× saldo (tekanan likuiditas),3,True,True,True,0.742,True,Liquidity-Stressed / High-Leverage,0.992,27.621,29.127,153.94,4445.09,4407.48,Transfer,4251.93,-4097.99,1
4435,Risk Signal,pinjaman 171× saldo (leverage ekstrem),3,True,True,True,0.741,False,Liquidity-Stressed / High-Leverage,1.231,8.076,170.857,260.43,2565.04,3156.92,Withdrawal,2103.16,2363.59,1
3151,Risk Signal,pinjaman 321× saldo (leverage ekstrem),3,True,True,True,0.741,True,Liquidity-Stressed / High-Leverage,0.005,4.437,321.085,135.93,8339.98,38.26,Transfer,603.07,-467.14,1
3459,Risk Signal,saldo kartu 2.0× limit (jauh over-limit); transaksi 15× saldo (tekanan likuiditas),3,True,True,True,0.739,True,Liquidity-Stressed / High-Leverage,2.001,14.512,60.309,249.22,2407.1,4816.35,Transfer,3616.59,3865.81,1
1038,Risk Signal,saldo kartu 3.1× limit (jauh over-limit); pinjaman 126× saldo (leverage ekstrem),3,True,True,True,0.738,True,Liquidity-Stressed / High-Leverage,3.139,3.655,126.158,298.03,1235.83,3879.55,Deposit,1089.37,1387.4,1
4681,Risk Signal,saldo kartu 3.9× limit (jauh over-limit),3,True,True,True,0.737,True,Liquidity-Stressed / High-Leverage,3.945,7.206,29.835,691.14,1231.04,4856.84,Transfer,4980.69,5671.83,1
2876,Risk Signal,pinjaman 201× saldo (leverage ekstrem),3,True,True,True,0.734,True,Liquidity-Stressed / High-Leverage,1.687,3.129,201.134,154.62,2344.61,3954.46,Deposit,483.73,-329.11,1
2039,Risk Signal,saldo kartu 2.2× limit (jauh over-limit),3,True,True,True,0.733,True,Liquidity-Stressed / High-Leverage,2.151,9.591,99.279,314.87,2305.33,4957.96,Withdrawal,3019.85,3334.72,1
1565,Risk Signal,pinjaman 179× saldo (leverage ekstrem),3,True,True,True,0.733,False,Liquidity-Stressed / High-Leverage,0.25,9.493,179.132,154.59,7486.32,1871.08,Transfer,1467.6,1622.19,1
4862,Risk Signal,pinjaman 204× saldo (leverage ekstrem),3,True,True,True,0.732,True,Liquidity-Stressed / High-Leverage,1.384,3.826,203.825,109.94,2847.54,3942.16,Transfer,420.67,530.61,1
1793,Risk Signal,transaksi 18× saldo (tekanan likuiditas),3,True,True,True,0.731,False,Liquidity-Stressed / High-Leverage,0.049,17.716,80.887,223.7,3934.17,194.1,Withdrawal,3962.96,-3739.26,1
4471,Risk Signal,transaksi 14× saldo (tekanan likuiditas); pinjaman 147× saldo (leverage ekstrem),3,True,True,True,0.73,False,Liquidity-Stressed / High-Leverage,0.513,13.531,147.151,137.62,2977.12,1528.24,Withdrawal,1862.19,-1724.57,1
2657,Risk Signal,transaksi 12× saldo (tekanan likuiditas); pinjaman 149× saldo (leverage ekstrem),3,True,True,True,0.729,False,Liquidity-Stressed / High-Leverage,0.465,12.188,148.552,290.85,7887.48,3668.6,Deposit,3544.78,3835.63,1
598,Risk Signal,transaksi 16× saldo (tekanan likuiditas); pinjaman 123× saldo (leverage ekstrem),3,True,True,True,0.727,False,Liquidity-Stressed / High-Leverage,0.261,15.847,122.93,306.17,8632.53,2248.84,Deposit,4852.01,5158.18,1
2045,Risk Signal,saldo kartu 3.8× limit (jauh over-limit),3,True,True,True,0.726,True,Liquidity-Stressed / High-Leverage,3.825,5.876,39.977,842.03,1065.16,4074.65,Transfer,4948.1,5790.13,1
1322,Risk Signal,transaksi 13× saldo (tekanan likuiditas); pinjaman 131× saldo (leverage ekstrem),3,True,True,True,0.726,False,Liquidity-Stressed / High-Leverage,0.76,12.642,130.897,378.54,3522.65,2676.94,Deposit,4785.46,-4406.92,1
1358,Risk Signal,pinjaman 207× saldo (leverage ekstrem),3,True,True,True,0.724,True,Liquidity-Stressed / High-Leverage,0.875,4.756,207.451,181.57,1867.84,1634.2,Deposit,863.63,1045.2,1
3250,Risk Signal,transaksi 14× saldo (tekanan likuiditas); pinjaman 140× saldo (leverage ekstrem),3,True,True,True,0.723,False,Liquidity-Stressed / High-Leverage,0.561,13.802,140.004,329.31,2951.66,1656.14,Transfer,4545.16,-4215.85,1
4467,Risk Signal,transaksi 17× saldo (tekanan likuiditas),3,True,True,True,0.721,False,Liquidity-Stressed / High-Leverage,0.105,17.076,78.681,186.74,1606.29,168.49,Deposit,3188.81,3375.55,1
2889,Risk Signal,transaksi 15× saldo (tekanan likuiditas),3,True,True,True,0.72,False,Liquidity-Stressed / High-Leverage,0.038,15.05,78.444,194.13,7540.44,286.49,Withdrawal,2921.64,3115.77,1
937,Risk Signal,pinjaman 290× saldo (leverage ekstrem),3,True,True,True,0.72,True,Liquidity-Stressed / High-Leverage,0.629,3.906,289.803,154.36,4601.01,2893.78,Withdrawal,603.0,757.36,1
2587,Risk Signal,transaksi 12× saldo (tekanan likuiditas); pinjaman 137× saldo (leverage ekstrem),3,True,True,True,0.718,False,Liquidity-Stressed / High-Leverage,0.343,11.891,136.514,225.23,5020.13,1723.27,Transfer,2678.15,2903.38,1
4693,Risk Signal,transaksi 10× saldo (tekanan likuiditas); pinjaman 106× saldo (leverage ekstrem),3,True,True,True,0.717,False,Liquidity-Stressed / High-Leverage,1.019,10.45,105.786,406.75,3501.3,3567.13,Withdrawal,4250.38,-3843.63,1
217,Risk Signal,saldo kartu 2.5× limit (jauh over-limit); transaksi 13× saldo (tekanan likuiditas),3,True,True,True,0.716,True,Liquidity-Stressed / High-Leverage,2.47,12.976,16.833,270.56,1243.2,3070.83,Transfer,3510.9,3781.46,1
4012,Risk Signal,transaksi 11× saldo (tekanan likuiditas); pinjaman 137× saldo (leverage ekstrem),3,True,True,True,0.712,False,Liquidity-Stressed / High-Leverage,0.396,10.884,137.173,269.65,6275.89,2484.74,Withdrawal,2934.79,-2665.14,1
1252,Risk Signal,transaksi 17× saldo (tekanan likuiditas),3,True,True,True,0.71,False,Liquidity-Stressed / High-Leverage,0.422,17.179,80.893,288.33,7558.57,3188.21,Deposit,4953.2,-4664.87,1
4956,Risk Signal,transaksi 13× saldo (tekanan likuiditas),3,True,True,True,0.706,False,Liquidity-Stressed / High-Leverage,0.065,12.758,80.788,228.14,9334.05,608.05,Withdrawal,2910.51,-2682.37,1
3343,Risk Signal,pinjaman 125× saldo (leverage ekstrem),3,True,True,True,0.705,True,Liquidity-Stressed / High-Leverage,1.477,5.799,124.852,237.19,2999.2,4429.37,Withdrawal,1375.53,-1138.34,1
3566,Risk Signal,transaksi 10× saldo (tekanan likuiditas),3,True,True,True,0.702,True,Liquidity-Stressed / High-Leverage,1.448,10.418,67.799,457.13,2654.91,3843.4,Deposit,4762.35,5219.48,1
3403,Risk Signal,transaksi 13× saldo (tekanan likuiditas),3,True,True,True,0.701,True,Liquidity-Stressed / High-Leverage,0.913,12.986,71.275,343.36,5072.26,4628.49,Transfer,4459.03,-4115.67,1
2553,Risk Signal,transaksi 18× saldo (tekanan likuiditas),3,True,True,True,0.701,True,Liquidity-Stressed / High-Leverage,0.884,17.565,26.159,215.28,3396.31,3003.55,Deposit,3781.49,-3566.21,1
3733,Risk Signal,pinjaman 111× saldo (leverage ekstrem),3,True,True,True,0.698,True,Liquidity-Stressed / High-Leverage,1.398,5.34,111.488,189.02,2289.25,3200.33,Transfer,1009.39,1198.41,1
287,Risk Signal,transaksi 11× saldo (tekanan likuiditas); pinjaman 117× saldo (leverage ekstrem),3,True,True,True,0.698,False,Liquidity-Stressed / High-Leverage,0.406,10.587,116.71,356.21,6390.97,2591.96,Withdrawal,3771.24,-3415.03,1
1771,Risk Signal,pinjaman 108× saldo (leverage ekstrem),3,True,True,True,0.698,False,Liquidity-Stressed / High-Leverage,0.028,7.772,108.44,262.73,6461.01,183.76,Transfer,2041.91,2304.64,-1
3997,Risk Signal,saldo kartu 4.3× limit (jauh over-limit),3,True,True,True,0.698,True,Credit-Stressed / Over-Limit,4.257,3.794,8.274,938.72,1148.21,4887.78,Transfer,3561.06,4499.78,1
1341,Risk Signal,transaksi 16× saldo (tekanan likuiditas),3,True,True,True,0.697,True,Liquidity-Stressed / High-Leverage,0.119,15.943,41.019,162.61,6130.19,729.14,Withdrawal,2592.44,-2429.83,1
1263,Risk Signal,transaksi 10× saldo (tekanan likuiditas); pinjaman 106× saldo (leverage ekstrem),3,True,True,True,0.697,False,Liquidity-Stressed / High-Leverage,0.246,10.297,106.168,307.32,8177.59,2007.83,Deposit,3164.57,-2857.25,1
4046,Risk Signal,transaksi 11× saldo (tekanan likuiditas); pinjaman 119× saldo (leverage ekstrem),3,True,True,True,0.694,False,Liquidity-Stressed / High-Leverage,0.475,10.515,119.125,133.56,8402.82,3995.12,Withdrawal,1404.4,-1270.84,1
1122,Risk Signal,transaksi 10× saldo (tekanan likuiditas); pinjaman 119× saldo (leverage ekstrem),3,True,True,True,0.694,False,Liquidity-Stressed / High-Leverage,0.532,10.333,119.047,347.53,4559.31,2423.96,Withdrawal,3591.04,3938.57,1
2173,Risk Signal,pinjaman 110× saldo (leverage ekstrem),3,True,True,True,0.694,False,Liquidity-Stressed / High-Leverage,0.004,7.07,109.732,203.4,2748.97,12.26,Transfer,1438.01,-1234.61,1
153,Risk Signal,transaksi 12× saldo (tekanan likuiditas),3,True,True,True,0.69,False,Liquidity-Stressed / High-Leverage,0.149,11.794,81.932,370.5,5836.36,869.04,Deposit,4369.82,-3999.32,1
3600,Risk Signal,transaksi 16× saldo (tekanan likuiditas),3,True,True,True,0.689,True,Liquidity-Stressed / High-Leverage,0.784,16.314,28.739,294.5,5684.35,4456.08,Deposit,4804.4,5098.9,1
905,Risk Signal,saldo kartu 3.5× limit (jauh over-limit),3,True,True,True,0.688,True,Credit-Stressed / Over-Limit,3.465,3.359,34.749,1242.41,1214.38,4208.11,Transfer,4172.69,-2930.28,1
3802,Risk Signal,pinjaman 248× saldo (leverage ekstrem),3,True,True,True,0.688,False,Liquidity-Stressed / High-Leverage,0.285,1.16,247.979,192.34,9343.89,2661.4,Withdrawal,223.1,415.44,1
3606,Risk Signal,transaksi 11× saldo (tekanan likuiditas),3,True,True,True,0.687,False,Liquidity-Stressed / High-Leverage,0.073,11.076,80.755,284.74,6661.07,486.97,Withdrawal,3153.91,3438.65,1
111,Risk Signal,saldo kartu 3.2× limit (jauh over-limit),3,True,True,True,0.686,True,Credit-Stressed / Over-Limit,3.235,3.963,30.16,1218.61,1256.36,4064.69,Withdrawal,4829.15,6047.76,1
2168,Risk Signal,transaksi 16× saldo (tekanan likuiditas),3,True,True,True,0.686,True,Liquidity-Stressed / High-Leverage,0.241,16.387,36.816,280.8,8575.27,2069.39,Withdrawal,4601.49,-4320.69,1
676,Risk Signal,saldo kartu 4.0× limit (jauh over-limit),3,True,True,True,0.685,True,Credit-Stressed / Over-Limit,4.011,1.561,35.054,1258.79,1225.19,4913.77,Withdrawal,1964.88,3223.67,1
1799,Risk Signal,transaksi 11× saldo (tekanan likuiditas),3,True,True,True,0.684,False,Liquidity-Stressed / High-Leverage,0.771,11.198,81.58,426.17,4138.83,3189.49,Deposit,4772.13,5198.3,1
456,Risk Signal,transaksi 12× saldo (tekanan likuiditas),3,True,True,True,0.684,False,Liquidity-Stressed / High-Leverage,0.636,11.73,78.353,171.52,6268.97,3984.32,Transfer,2012.0,-1840.48,1
1098,Risk Signal,pinjaman 117× saldo (leverage ekstrem),3,True,True,True,0.684,False,Liquidity-Stressed / High-Leverage,0.259,8.345,117.044,412.02,6265.88,1620.81,Transfer,3438.51,3850.53,1
4445,Risk Signal,transaksi 20× saldo (tekanan likuiditas),3,True,True,True,0.68,True,Liquidity-Stressed / High-Leverage,0.308,20.124,11.287,247.85,9533.05,2933.82,Transfer,4987.72,-4739.87,-1
19,Risk Signal,pinjaman 146× saldo (leverage ekstrem),3,True,True,True,0.68,True,Liquidity-Stressed / High-Leverage,0.141,4.802,146.139,194.36,7650.68,1076.46,Deposit,933.29,-738.93,1
328,Risk Signal,pinjaman 141× saldo (leverage ekstrem),3,True,True,True,0.678,True,Liquidity-Stressed / High-Leverage,0.244,5.366,141.26,291.18,9870.84,2404.73,Transfer,1562.57,-1271.39,1
760,Risk Signal,pinjaman 100× saldo (leverage ekstrem),3,True,True,True,0.677,False,Liquidity-Stressed / High-Leverage,0.813,8.691,100.149,358.22,5808.93,4722.16,Transfer,3113.12,-2754.9,1
2302,Risk Signal,pinjaman 153× saldo (leverage ekstrem),3,True,True,True,0.677,True,Liquidity-Stressed / High-Leverage,0.156,3.46,153.151,238.59,8007.55,1245.62,Withdrawal,825.41,-586.82,-1
2129,Risk Signal,transaksi 10× saldo (tekanan likuiditas),3,True,True,True,0.677,False,Liquidity-Stressed / High-Leverage,0.212,10.411,82.611,264.39,8855.27,1877.22,Deposit,2752.51,-2488.12,1
3257,Risk Signal,saldo kartu 3.4× limit (jauh over-limit),3,True,True,True,0.676,True,Credit-Stressed / Over-Limit,3.397,3.649,2.714,953.84,1355.56,4605.07,Deposit,3480.19,-2526.35,1
3939,Risk Signal,pinjaman 119× saldo (leverage ekstrem),3,True,True,True,0.675,False,Liquidity-Stressed / High-Leverage,0.488,8.298,118.954,268.67,7586.27,3698.44,Withdrawal,2229.33,2498.0,1
2051,Risk Signal,pinjaman 102× saldo (leverage ekstrem),3,True,True,True,0.675,False,Liquidity-Stressed / High-Leverage,0.304,9.276,101.923,393.3,8849.28,2690.66,Transfer,3648.26,-3254.96,1
1104,Risk Signal,pinjaman 126× saldo (leverage ekstrem),3,True,True,True,0.674,True,Liquidity-Stressed / High-Leverage,1.267,2.047,126.044,360.26,3758.48,4760.38,Deposit,737.31,-377.05,1
2445,Risk Signal,pinjaman 114× saldo (leverage ekstrem),3,True,True,True,0.674,False,Liquidity-Stressed / High-Leverage,0.486,7.897,113.611,366.14,6624.61,3221.55,Transfer,2891.47,-2525.33,1
2929,Risk Signal,pinjaman 188× saldo (leverage ekstrem),3,True,True,True,0.673,False,Liquidity-Stressed / High-Leverage,0.491,2.35,187.678,201.96,2470.82,1212.17,Withdrawal,474.57,676.53,1
3895,Risk Signal,pinjaman 105× saldo (leverage ekstrem),3,True,True,True,0.673,True,Liquidity-Stressed / High-Leverage,0.015,5.504,105.222,439.66,9626.05,146.94,Transfer,2419.95,2859.61,1
627,Risk Signal,pinjaman 117× saldo (leverage ekstrem),3,True,True,True,0.671,True,Liquidity-Stressed / High-Leverage,0.083,5.187,117.097,173.88,6185.71,510.71,Deposit,901.95,1075.83,1
46,Data Error / Quality,saldo akhir negatif (overdraft) — perlu verifikasi,3,True,True,True,0.668,False,Liquidity-Stressed / High-Leverage,0.093,8.28,89.174,539.4,9925.21,924.02,Transfer,4466.28,-3926.88,1
895,Rare but Valid,menyimpang pada ≥1 fitur tapi dalam rentang wajar,3,True,True,True,0.664,False,Liquidity-Stressed / High-Leverage,0.834,8.472,86.717,176.53,2997.87,2501.06,Deposit,1495.59,1672.12,1
1856,Risk Signal,saldo kartu 4.2× limit (jauh over-limit),3,True,True,True,0.664,False,Credit-Stressed / Over-Limit,4.222,0.537,19.899,2372.26,1180.17,4982.17,Withdrawal,1273.1,1099.16,1
1520,Risk Signal,pinjaman 139× saldo (leverage ekstrem),3,True,True,True,0.661,True,Liquidity-Stressed / High-Leverage,0.044,0.701,138.993,320.93,4985.67,219.3,Deposit,224.87,545.8,1
4436,Risk Signal,transaksi 13× saldo (tekanan likuiditas),3,True,True,True,0.661,True,Liquidity-Stressed / High-Leverage,0.575,13.494,35.94,306.8,4941.75,2842.19,Deposit,4140.0,-3833.2,1
159,Data Error / Quality,saldo akhir tidak konsisten dgn tipe & jumlah transaksi,3,True,True,True,0.659,True,Liquidity-Stressed / High-Leverage,0.869,9.861,58.8,375.78,4703.32,4087.66,Withdrawal,3705.6,4081.38,1
1862,Risk Signal,transaksi 12× saldo (tekanan likuiditas),3,True,True,True,0.659,True,Liquidity-Stressed / High-Leverage,0.33,11.977,50.948,361.05,7447.47,2460.66,Deposit,4324.14,4685.19,1
3406,Risk Signal,transaksi 11× saldo (tekanan likuiditas),3,True,True,True,0.659,True,Liquidity-Stressed / High-Leverage,0.877,11.176,37.988,416.17,4294.26,3764.07,Transfer,4651.26,5067.43,1
4248,Data Error / Quality,saldo akhir negatif (overdraft) — perlu verifikasi,3,True,True,True,0.658,True,Liquidity-Stressed / High-Leverage,0.953,4.994,94.568,360.72,4206.34,4010.36,Transfer,1801.51,-1440.79,-1
2047,Risk Signal,pinjaman 121× saldo (leverage ekstrem),3,True,True,True,0.657,True,Liquidity-Stressed / High-Leverage,0.913,2.856,120.604,375.05,4678.2,4272.69,Transfer,1071.23,-696.18,1
476,Risk Signal,saldo kartu 3.4× limit (jauh over-limit),3,True,True,True,0.657,True,Credit-Stressed / Over-Limit,3.365,0.054,29.61,659.44,1044.78,3516.03,Withdrawal,35.46,694.9,1
1014,Risk Signal,transaksi 14× saldo (tekanan likuiditas),3,True,True,True,0.656,True,Liquidity-Stressed / High-Leverage,0.537,13.534,25.811,285.74,8474.09,4551.51,Deposit,3867.14,-3581.4,1
3052,Risk Signal,transaksi 14× saldo (tekanan likuiditas),3,True,True,True,0.656,True,Liquidity-Stressed / High-Leverage,0.318,13.544,25.989,245.16,4921.8,1567.46,Withdrawal,3320.51,3565.67,1
4503,Risk Signal,pinjaman 103× saldo (leverage ekstrem),3,True,True,True,0.655,True,Liquidity-Stressed / High-Leverage,0.149,5.905,102.921,271.25,6964.3,1038.88,Withdrawal,1601.8,1873.05,1
3238,Risk Signal,pinjaman 131× saldo (leverage ekstrem),3,True,True,True,0.654,True,Liquidity-Stressed / High-Leverage,0.316,4.769,131.197,313.56,2041.22,644.88,Deposit,1495.47,-1181.91,1
318,Risk Signal,saldo kartu 3.5× limit (jauh over-limit),3,True,True,True,0.652,True,Credit-Stressed / Over-Limit,3.457,1.926,18.402,2468.98,1357.96,4694.62,Deposit,4756.31,7225.29,1
350,Risk Signal,saldo kartu 3.2× limit (jauh over-limit),3,True,True,True,0.651,True,Credit-Stressed / Over-Limit,3.233,2.415,18.41,1794.14,1492.79,4826.23,Withdrawal,4331.99,6126.13,1
4659,Risk Signal,pinjaman 133× saldo (leverage ekstrem),3,True,True,True,0.649,True,Liquidity-Stressed / High-Leverage,0.433,3.851,132.964,359.01,9451.77,4093.54,Withdrawal,1382.37,1741.38,1
1830,Risk Signal,transaksi 13× saldo (tekanan likuiditas),3,True,True,True,0.649,True,Liquidity-Stressed / High-Leverage,0.439,12.816,22.374,284.81,5903.85,2594.53,Transfer,3650.03,-3365.22,1
4805,Risk Signal,pinjaman 133× saldo (leverage ekstrem),3,True,True,True,0.647,True,Liquidity-Stressed / High-Leverage,0.399,3.775,132.959,145.98,6942.58,2766.81,Transfer,551.04,-405.06,1
3405,Data Error / Quality,saldo akhir negatif (overdraft) — perlu verifikasi,3,True,True,True,0.646,True,Liquidity-Stressed / High-Leverage,0.73,9.71,51.716,126.62,3125.43,2281.06,Withdrawal,1229.43,-1102.81,1
3026,Risk Signal,pinjaman 108× saldo (leverage ekstrem),3,True,True,True,0.645,True,Liquidity-Stressed / High-Leverage,0.737,3.306,108.394,454.4,6230.05,4590.13,Deposit,1502.19,1956.59,1
1376,Risk Signal,saldo kartu 4.5× limit (jauh over-limit),3,True,True,True,0.643,False,Credit-Stressed / Over-Limit,4.546,0.718,10.296,3113.55,1020.85,4640.78,Deposit,2235.46,878.09,1
